a-scan_ultrasonography.n.01	the use of ultrasonography to measure the length of the eyeball
a_cappella_singing.n.01	singing without instrumental accompaniment
abatement.n.02	the act of abating
abatement_of_a_nuisance.n.01	(law) the removal or termination or destruction of something that has been found to be a nuisance
abbreviation.n.02	shortening something by omitting parts of it
abdominal_breathing.n.01	breathing in which most of the respiratory effort is done by the abdominal muscles
abdominocentesis.n.01	centesis of the belly to remove fluid for diagnosis
abdominoplasty.n.01	cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach
abiogenesis.n.01	a hypothetical organic phenomenon by which living organisms are created from nonliving matter
abiotrophy.n.01	a loss of vitality and a degeneration of cells and tissues not due to any apparent injury
ablactation.n.01	the cessation of lactation
ableism.n.01	discrimination in favor of the able-bodied
abnormality.n.04	behavior that breaches the rule or etiquette or custom or morality
abort.n.01	the act of terminating a project or procedure before it is completed
aborticide.n.02	the act of destroying a fetus
abscission.n.01	shedding of flowers and leaves and fruit following formation of scar tissue in a plant
absence.n.04	the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy
absence_without_leave.n.01	unauthorized military absence
absenteeism.n.01	habitual absence from work
absolute_threshold.n.01	the lowest level of stimulation that a person can detect
absorption_band.n.01	a dark band in the spectrum of white light that has been transmitted through a substance that exhibits absorption at selective wavelengths
abstinence.n.02	act or practice of refraining from indulging an appetite
abstraction.n.02	the act of withdrawing or removing something
academic_requirement.n.01	a requirement for admission to or completion of an academic program
academicianship.n.01	the position of member of an honorary academy
acceptance.n.04	(contract law) words signifying consent to the terms of an offer (thereby creating a contract)
acceptance_sampling.n.01	a statistical procedure for accepting or rejecting a batch of merchandise or documents; involves determining the maximum number of defects discovered in a sample before the entire batch is rejected
accession.n.01	a process of increasing by addition (as to a collection or group)
accident.n.01	an unfortunate mishap; especially one causing damage or injury
accident.n.02	anything that happens suddenly or by chance without an apparent cause
accommodation.n.06	(physiology) the automatic adjustment in focal length of the natural lens of the eye
accommodation_reflex.n.01	reflex changes in the eyes that enable an object to be focused on the retina
accord.n.02	concurrence of opinion
accountantship.n.01	the position of accountant
accretion.n.03	(astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases
accretion.n.05	(geology) an increase in land resulting from alluvial deposits or waterborne sediment
acheson_process.n.01	an industrial process for making graphite by heating a mixture of coke and clay
acid-base_equilibrium.n.01	(physiology) the normal equilibrium between acids and alkalis in the body
acid_test.n.01	a rigorous or crucial appraisal
acidimetry.n.01	volumetric analysis using standard solutions of acids to measure the amount of a base present
acidity.n.02	the taste experience when something acidic is taken into the mouth
acoustic_phenomenon.n.01	a physical phenomenon associated with the production or transmission of sound
acoustic_radiation_pressure.n.01	(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave
acoustic_resistance.n.01	opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component
acridity.n.01	having an acrid smell
acrobatic_stunt.n.01	a stunt performed by an acrobat
acrophony.n.01	naming a letter of the alphabet by using a word whose initial sound is the sound represented by that letter
act_of_god.n.01	a natural and unavoidable catastrophe that interrupts the expected course of events
actinic_radiation.n.01	electromagnetic radiation that can produce photochemical reactions
actinometry.n.01	measuring the intensity of electromagnetic radiation (especially of the sun's rays)
action.n.09	an act by a government body or supranational organization
action.n.10	the most important or interesting work or activity in a specific area or field
action_potential.n.01	the local voltage change across the cell wall as a nerve impulse is transmitted
activation_energy.n.01	the energy that an atomic system must acquire before a process (such as an emission or reaction) can occur
active_air_defense.n.01	air defense by the use aircraft or missiles or artillery or electronic countermeasures
active_birth.n.01	childbirth during which the mother is encouraged to be an active participant
active_transport.n.01	transport of a substance (as a protein or drug) across a cell membrane against the concentration gradient; requires an expenditure of energy
activity.n.01	any specific behavior
actual_eviction.n.01	the physical ouster of a tenant from the leased premises; the tenant is relieved of any further duty to pay rent
actual_possession.n.01	(law) immediate and direct physical control over property
actual_sin.n.01	a sin committed of your own free will (as contrasted with original sin)
acupressure.n.01	treatment of symptoms by applying pressure with the fingers to specific pressure points on the body
acupuncture.n.01	treatment of pain or disease by inserting the tips of needles at specific points on the skin
acylation.n.01	the process of introducing an acyl group into a compound
adagio.n.02	a slow section of a pas de deux requiring great skill and strength by the dancers
adaptation.n.03	(physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)
adaptive_radiation.n.01	the development of many different forms from an originally homogeneous group of organisms as they fill different ecological niches
