synset_name	synset_definition	frame_0	frame_1	frame_2	frame_3	frame_4
a-scan_ultrasonography.n.01	A-scan ultrasonography, the use of ultrasonography to measure the length of the eyeball	ANALYZE	MEASURE_EVALUATE	VERIFY	FIND	SEARCH
a_cappella_singing.n.01	a cappella singing, a capella singing, singing without instrumental accompaniment	SING	DANCE	PERFORM	MAKE-A-SOUND	REPEAT
abatement.n.02	abatement, the act of abating	REDUCE_DIMINISH	WEAKEN	SLOW-DOWN	WORSEN	DEBASE_ADULTERATE
abatement_of_a_nuisance.n.01	abatement of a nuisance, nuisance abatement, law the removal or termination or destruction of something that has been found to be a nuisance	REDUCE_DIMINISH	REMOVE_TAKE-AWAY_KIDNAP	COMPENSATE	WEAKEN	CANCEL_ELIMINATE
abbreviation.n.02	abbreviation, shortening something by omitting parts of it	REDUCE_DIMINISH	SLOW-DOWN	WEAKEN	DEBASE_ADULTERATE	COMPLEXIFY
abdominal_breathing.n.01	abdominal breathing, breathing in which most of the respiratory effort is done by the abdominal muscles	BREATH_BLOW	EXCRETE	AIR	SMELL	EAT_BITE
abdominocentesis.n.01	abdominocentesis, paracentesis, centesis of the belly to remove fluid for diagnosis	EMPTY_UNLOAD	REMOVE_TAKE-AWAY_KIDNAP	UNFASTEN_UNFOLD	CASTRATE	WASH_CLEAN
abdominoplasty.n.01	abdominoplasty, tummy tuck, cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach	UNFASTEN_UNFOLD	REMOVE_TAKE-AWAY_KIDNAP	STRAIGHTEN	REPAIR_REMEDY	PRESS_PUSH_FOLD
abiogenesis.n.01	abiogenesis, autogenesis, autogeny, spontaneous generation, a hypothetical organic phenomenon by which living organisms are created from nonliving matter	GIVE-BIRTH	GENERATE	GROW_PLOW	DEVELOP_AGE	CONVERT
abiotrophy.n.01	abiotrophy, a loss of vitality and a degeneration of cells and tissues not due to any apparent injury	SPOIL	HURT_HARM_ACHE	WORSEN	DEBASE_ADULTERATE	DESTROY
ablactation.n.01	ablactation, the cessation of lactation	KILL	FINISH_CONCLUDE_END	HURT_HARM_ACHE	EXCRETE	NOURISH_FEED
ableism.n.01	ableism, ablism, able-bodiedism, able-bodism, discrimination in favor of the ablebodied	REFUSE	DISTINGUISH_DIFFER	PRECLUDE_FORBID_EXPEL	DOWNPLAY_HUMILIATE	TREAT
